id,product_name,product_category,price,product_url,image_url,description,color
35,BJÖRKSTA,painting,4280,https://www.ikea.com/in/en/p/bjoerksta-picture-with-frame-red-bridge-at-sunset-aluminium-colour-s89471619/,https://www.ikea.com/in/en/images/products/bjoerksta-picture-with-frame-red-bridge-at-sunset-aluminium-colour__1082165_pe858549_s5.jpg?f=xxs,"Picture with frame, 140x100 cm (55x39 ¼ ")",Taupe
36,BJÖRKSTA,painting,5580,https://www.ikea.com/in/en/p/bjoerksta-picture-with-frame-bridge-and-clouds-aluminium-colour-s39508936/,https://www.ikea.com/in/en/images/products/bjoerksta-picture-with-frame-bridge-and-clouds-aluminium-colour__1175830_pe895343_s5.jpg?f=xxs,"Picture with frame, 200x140 cm (78 ¾x55 ")",Peach
37,BJÖRNAMO,painting,699,https://www.ikea.com/in/en/p/bjoernamo-art-print-on-hollow-wood-eggs-00533215/,https://www.ikea.com/in/en/images/products/bjoernamo-art-print-on-hollow-wood-eggs__1098390_pe865373_s5.jpg?f=xxs,"Art print on hollow wood, 20x30 cm (7 ¾x11 ¾ ")",Peach
38,FISKBO,painting,6990,https://www.ikea.com/in/en/p/fiskbo-frame-with-poster-set-of-9-creme-de-la-creme-90554920/,https://www.ikea.com/in/en/images/products/fiskbo-frame-with-poster-set-of-9-creme-de-la-creme__1180175_pe896218_s5.jpg?f=xxs,"Frame with poster, set of 9",Gray
39,BJÖRKSTA,painting,2980,https://www.ikea.com/in/en/p/bjoerksta-picture-with-frame-balconies-aluminium-colour-s49508950/,https://www.ikea.com/in/en/images/products/bjoerksta-picture-with-frame-balconies-aluminium-colour__1176851_pe895161_s5.jpg?f=xxs,"Picture with frame, 78x118 cm (30 ¾x46 ½ ")",Gray
40,BJÖRKSTA,painting,4280,https://www.ikea.com/in/en/p/bjoerksta-picture-with-frame-curious-cow-aluminium-colour-s69508911/,https://www.ikea.com/in/en/images/products/bjoerksta-picture-with-frame-curious-cow-aluminium-colour__1176827_pe895333_s5.jpg?f=xxs,"Picture with frame, 140x100 cm (55x39 ¼ ")",Gray
41,RÖDALM,painting,1990,https://www.ikea.com/in/en/p/roedalm-frame-with-poster-paix-lineaire-20583558/,https://www.ikea.com/in/en/images/products/roedalm-frame-with-poster-paix-lineaire__1313280_pe940109_s5.jpg?f=xxs,"Frame with poster, 50x70 cm (19 ¾x27 ½ ")","Dusty Rose"
42,KOPPARFALL,painting,1490,https://www.ikea.com/in/en/p/kopparfall-picture-moonscape-60508784/,https://www.ikea.com/in/en/images/products/kopparfall-picture-moonscape__0512507_pe638594_s5.jpg?f=xxs,"Picture, 49x49 cm (19 ¼x19 ¼ ")",Black
43,RÖDALM,painting,2490,https://www.ikea.com/in/en/p/roedalm-frame-with-poster-sunflowers-30583548/,https://www.ikea.com/in/en/images/products/roedalm-frame-with-poster-sunflowers__1313277_pe940106_s5.jpg?f=xxs,"Frame with poster, 40x50 cm (15 ¾x19 ¾ ")",White
44,PJÄTTERYD,painting,699,https://www.ikea.com/in/en/p/pjaetteryd-picture-leaves-with-apples-40583562/,https://www.ikea.com/in/en/images/products/pjaetteryd-picture-leaves-with-apples__1293476_pe935190_s5.jpg?f=xxs,"Picture, 30x40 cm (11 ¾x15 ¾ ")",Terracotta
45,VÄGNÄT,handmade-carpets,2990,https://www.ikea.com/in/en/p/vaegnaet-rug-flatwoven-off-white-grey-handmade-70550824/,https://www.ikea.com/in/en/images/products/vaegnaet-rug-flatwoven-off-white-grey-handmade__1133076_pe878396_s5.jpg?f=xxs,"Rug, flatwoven, 133x195 cm (4 ' 4 "x6 ' 5 ")",Peach
46,TANNISBY,handmade-carpets,13990,https://www.ikea.com/in/en/p/tannisby-rug-flatwoven-handmade-grey-black-20500148/,https://www.ikea.com/in/en/images/products/tannisby-rug-flatwoven-handmade-grey-black__0937528_pe793780_s5.jpg?f=xxs,"Rug, flatwoven, 160x230 cm (5 ' 3 "x7 ' 7 ")",Gray
47,KLOCKBUSKE,handmade-carpets,13990,https://www.ikea.com/in/en/p/klockbuske-rug-flatwoven-dark-grey-flower-30517186/,https://www.ikea.com/in/en/images/products/klockbuske-rug-flatwoven-dark-grey-flower__1030318_pe836207_s5.jpg?f=xxs,"Rug, flatwoven, 160x230 cm (5 ' 3 "x7 ' 7 ")",Gray
48,HÖJET,handmade-carpets,3499,https://www.ikea.com/in/en/p/hoejet-rug-flatwoven-handmade-brown-40382040/,https://www.ikea.com/in/en/images/products/hoejet-rug-flatwoven-handmade-brown__0555100_pe660136_s5.jpg?f=xxs,"Rug, flatwoven, 170x240 cm (5 ' 7 "x7 ' 10 ")",Beige
49,BRÖNDEN,handmade-carpets,7990,https://www.ikea.com/in/en/p/broenden-rug-low-pile-handmade-beige-10532932/,https://www.ikea.com/in/en/images/products/broenden-rug-low-pile-handmade-beige__0804523_pe769465_s5.jpg?f=xxs,"Rug, low pile, 133x195 cm (4 ' 4 "x6 ' 5 ")",Peach
50,HALVED,handmade-carpets,8990,https://www.ikea.com/in/en/p/halved-rug-flatwoven-handmade-multicolour-00328229/,https://www.ikea.com/in/en/images/products/halved-rug-flatwoven-handmade-multicolour__0603024_pe680632_s5.jpg?f=xxs,"Rug, flatwoven, 170x240 cm (5 ' 7 "x7 ' 10 ")",Gray
